SKU;Tamanho Pedido;Loja;Data da Venda;Marca;Preco
HL1007;3;Fortaleza;01/01/2010;Dell;R$ 2.300,00
HL1008;5;Rio de Janeiro;01/01/2010;Philco;R$ 2.000,00
HL1015;4;Recife;01/01/2010;Sony;R$ 700,00
HL1008;5;Curitiba;01/01/2010;Philco;R$ 2.000,00
HL1018;5;Niteroi;01/01/2010;Xiaomi;R$ 1.200,00
HL1007;3;Fortaleza;01/01/2010;Dell;R$ 2.300,00
HL1023;3;Rio de Janeiro;01/01/2010;Samsung;R$ 1.500,00
HL1010;2;Curitiba;01/01/2010;Apple;R$ 1.900,00
HL1013;2;Rio de Janeiro;01/01/2010;Nikon;R$ 1.550,00
HL1010;4;Rio de Janeiro;01/01/2010;Apple;R$ 1.900,00
HL1009;1;Belo Horizonte;01/01/2010;Motorola;R$ 1.400,00
HL1007;4;Recife;01/01/2010;Dell;R$ 2.300,00
HL1019;5;Belo Horizonte;01/01/2010;Apple;R$ 6.500,00
HL1005;3;Campinas;02/01/2010;Canon;R$ 1.500,00
HL1007;1;Recife;02/01/2010;Dell;R$ 2.300,00
HL1024;4;Recife;02/01/2010;Acer;R$ 2.400,00
HL1005;5;Niteroi;02/01/2010;Canon;R$ 1.500,00
HL1009;3;Rio de Janeiro;02/01/2010;Motorola;R$ 1.400,00
HL1009;2;Sao Paulo;02/01/2010;Motorola;R$ 1.400,00
HL1024;1;Porto Alegre;02/01/2010;Acer;R$ 2.400,00
HL1001;2;Sao Paulo;02/01/2010;LG;R$ 2.600,00
HL1015;1;Sao Paulo;02/01/2010;Sony;R$ 700,00
HL1015;4;Rio de Janeiro;02/01/2010;Sony;R$ 700,00
HL1019;4;Recife;02/01/2010;Apple;R$ 6.500,00
HL1005;5;Sao Paulo;02/01/2010;Canon;R$ 1.500,00
HL1001;3;Fortaleza;03/01/2010;LG;R$ 2.600,00
HL1008;5;Belo Horizonte;03/01/2010;Philco;R$ 2.000,00
HL1005;5;Salvador;03/01/2010;Canon;R$ 1.500,00
HL1018;3;Fortaleza;03/01/2010;Xiaomi;R$ 1.200,00
HL1019;5;Recife;03/01/2010;Apple;R$ 6.500,00
HL1019;2;Curitiba;03/01/2010;Apple;R$ 6.500,00
HL1009;5;Sao Paulo;03/01/2010;Motorola;R$ 1.400,00
HL1015;1;Sao Paulo;03/01/2010;Sony;R$ 700,00
HL1024;1;Salvador;03/01/2010;Acer;R$ 2.400,00
HL1013;4;Sao Paulo;03/01/2010;Nikon;R$ 1.550,00
HL1024;5;Goiania;03/01/2010;Acer;R$ 2.400,00
HL1015;1;Rio de Janeiro;03/01/2010;Sony;R$ 700,00
HL1005;3;Salvador;03/01/2010;Canon;R$ 1.500,00
HL1015;1;Fortaleza;03/01/2010;Sony;R$ 700,00
HL1009;3;Belo Horizonte;03/01/2010;Motorola;R$ 1.400,00
HL1015;2;Goiania;04/01/2010;Sony;R$ 700,00
HL1019;4;Rio de Janeiro;04/01/2010;Apple;R$ 6.500,00
HL1008;4;Recife;04/01/2010;Philco;R$ 2.000,00
HL1015;5;Guarulhos;04/01/2010;Sony;R$ 700,00
HL1018;1;Guarulhos;04/01/2010;Xiaomi;R$ 1.200,00
HL1020;3;Fortaleza;04/01/2010;Motorola;R$ 1.500,00
HL1001;3;Niteroi;04/01/2010;LG;R$ 2.600,00
HL1002;3;Salvador;04/01/2010;Apple;R$ 2.500,00
HL1008;2;Sao Paulo;04/01/2010;Philco;R$ 2.000,00
HL1015;5;Belo Horizonte;04/01/2010;Sony;R$ 700,00
HL1009;2;Recife;05/01/2010;Motorola;R$ 1.400,00
HL1009;3;Rio de Janeiro;05/01/2010;Motorola;R$ 1.400,00
HL1009;5;Campinas;05/01/2010;Motorola;R$ 1.400,00
HL1020;1;Rio de Janeiro;05/01/2010;Motorola;R$ 1.500,00
HL1015;4;Sao Paulo;05/01/2010;Sony;R$ 700,00
HL1005;3;Sao Paulo;05/01/2010;Canon;R$ 1.500,00
HL1007;1;Nova Iguacu;05/01/2010;Dell;R$ 2.300,00
HL1005;1;Guarulhos;05/01/2010;Canon;R$ 1.500,00
HL1008;5;Rio de Janeiro;05/01/2010;Philco;R$ 2.000,00
HL1024;3;Porto Alegre;05/01/2010;Acer;R$ 2.400,00
HL1008;5;Fortaleza;05/01/2010;Philco;R$ 2.000,00
HL1018;5;Recife;05/01/2010;Xiaomi;R$ 1.200,00
HL1024;3;Sao Paulo;06/01/2010;Acer;R$ 2.400,00
HL1005;3;Nova Iguacu;06/01/2010;Canon;R$ 1.500,00
HL1018;1;Sao Paulo;06/01/2010;Xiaomi;R$ 1.200,00
HL1018;1;Guarulhos;06/01/2010;Xiaomi;R$ 1.200,00
HL1008;4;Sao Paulo;07/01/2010;Philco;R$ 2.000,00
HL1024;1;Rio de Janeiro;07/01/2010;Acer;R$ 2.400,00
HL1015;4;Nova Iguacu;07/01/2010;Sony;R$ 700,00
HL1015;2;Sao Paulo;08/01/2010;Sony;R$ 700,00
HL1008;5;Niteroi;08/01/2010;Philco;R$ 2.000,00
HL1015;2;Goiania;08/01/2010;Sony;R$ 700,00
HL1005;5;Rio de Janeiro;08/01/2010;Canon;R$ 1.500,00
HL1005;3;Belo Horizonte;08/01/2010;Canon;R$ 1.500,00
HL1013;5;Rio de Janeiro;08/01/2010;Nikon;R$ 1.550,00
HL1018;1;Niteroi;09/01/2010;Xiaomi;R$ 1.200,00
HL1015;1;Niteroi;09/01/2010;Sony;R$ 700,00
HL1008;4;Salvador;09/01/2010;Philco;R$ 2.000,00
HL1013;4;Salvador;09/01/2010;Nikon;R$ 1.550,00
HL1008;3;Guarulhos;09/01/2010;Philco;R$ 2.000,00
HL1009;5;Curitiba;09/01/2010;Motorola;R$ 1.400,00
HL1005;5;Fortaleza;10/01/2010;Canon;R$ 1.500,00
HL1018;5;Fortaleza;10/01/2010;Xiaomi;R$ 1.200,00
HL1015;3;Belo Horizonte;10/01/2010;Sony;R$ 700,00
HL1005;4;Sao Paulo;10/01/2010;Canon;R$ 1.500,00
HL1015;5;Salvador;11/01/2010;Sony;R$ 700,00
HL1005;2;Fortaleza;11/01/2010;Canon;R$ 1.500,00
HL1005;4;Campinas;12/01/2010;Canon;R$ 1.500,00
HL1008;4;Salvador;12/01/2010;Philco;R$ 2.000,00
HL1024;4;Sao Paulo;12/01/2010;Acer;R$ 2.400,00
HL1015;2;Fortaleza;12/01/2010;Sony;R$ 700,00
HL1024;5;Rio de Janeiro;13/01/2010;Acer;R$ 2.400,00
HL1005;4;Recife;13/01/2010;Canon;R$ 1.500,00
HL1013;4;Sao Paulo;13/01/2010;Nikon;R$ 1.550,00
HL1009;2;Guarulhos;13/01/2010;Motorola;R$ 1.400,00
HL1015;2;Salvador;13/01/2010;Sony;R$ 700,00
HL1005;3;Curitiba;13/01/2010;Canon;R$ 1.500,00
HL1005;2;Fortaleza;13/01/2010;Canon;R$ 1.500,00
HL1015;2;Recife;13/01/2010;Sony;R$ 700,00
HL1020;3;Curitiba;13/01/2010;Motorola;R$ 1.500,00
HL1008;4;Nova Iguacu;13/01/2010;Philco;R$ 2.000,00
HL1015;3;Fortaleza;14/01/2010;Sony;R$ 700,00
HL1020;1;Sao Paulo;14/01/2010;Motorola;R$ 1.500,00
HL1015;5;Recife;14/01/2010;Sony;R$ 700,00
HL1009;5;Sao Paulo;14/01/2010;Motorola;R$ 1.400,00
HL1013;2;Recife;15/01/2010;Nikon;R$ 1.550,00
HL1013;4;Belo Horizonte;15/01/2010;Nikon;R$ 1.550,00
HL1005;5;Salvador;16/01/2010;Canon;R$ 1.500,00
HL1024;1;Sao Paulo;16/01/2010;Acer;R$ 2.400,00
HL1009;5;Guarulhos;16/01/2010;Motorola;R$ 1.400,00
HL1024;2;Fortaleza;16/01/2010;Acer;R$ 2.400,00
HL1024;4;Belo Horizonte;16/01/2010;Acer;R$ 2.400,00
